record_id,month
1671,2026-01
1675,2024-11
1675,2024-12
1675,2025-01
1675,2025-03
1675,2025-04
1699,2023-12
1699,2024-01
1699,2024-02
1699,2024-03
1699,2024-04
1699,2024-05
1703,2025-04
1703,2025-06
1703,2025-07
1703,2025-08
1703,2025-12
1703,2026-01
1703,2026-02
1754,2025-07
1754,2025-08
1754,2025-12
1754,2026-01
1764,2025-07
1764,2025-08
1764,2025-09
1764,2025-10
1764,2026-01
1764,2026-02
1764,2026-03
1765,2025-04
1765,2025-05
1765,2025-06
1765,2025-07
1765,2025-08
1765,2025-11
1765,2025-12
1765,2026-01
1780,2025-07
1780,2025-08
1780,2025-09
1780,2025-10
1780,2025-11
1780,2026-03
1780,2026-04
1780,2026-05
1781,2025-07
1781,2025-08
1781,2025-09
1781,2025-10
1781,2026-02
1781,2026-03
1781,2026-04
1782,2025-07
1782,2025-08
1782,2025-09
1782,2025-10
1782,2026-02
1782,2026-03
1782,2026-04
1789,2025-07
1789,2025-08
1789,2025-11
1789,2025-12
1789,2026-01
1806,2025-07
1806,2025-08
1806,2025-11
1806,2025-12
1806,2026-01
1810,2025-04
1810,2025-07
1810,2025-08
1810,2025-12
1810,2026-01
1810,2026-02
1821,2025-07
1821,2025-08
1821,2025-09
1821,2025-10
1821,2025-11
1821,2025-12
1821,2026-04
1821,2026-05
1830,2025-05
1830,2025-06
1830,2025-07
1830,2025-08
1830,2025-11
1830,2025-12
1830,2026-01
1835,2025-07
1835,2025-08
1835,2025-09
1835,2025-10
1835,2026-02
1835,2026-03
1835,2026-04
1837,2025-07
1837,2025-08
1837,2025-12
1837,2026-01
1837,2026-02
1839,2025-04
1839,2025-05
1839,2025-06
1839,2025-07
1839,2025-08
1839,2025-12
1839,2026-01
1839,2026-02
1845,2025-07
1845,2025-08
1845,2025-09
1845,2025-10
1845,2025-11
1845,2026-03
1845,2026-04
1845,2026-05
1850,2025-07
1850,2025-08
1850,2025-12
1850,2026-01
1850,2026-02
1851,2025-06
1851,2025-07
1851,2025-08
1851,2025-09
1851,2025-10
1851,2026-01
1851,2026-02
1851,2026-03
1853,2025-06
1853,2025-07
1853,2025-08
1853,2025-09
1853,2025-10
1853,2025-11
1853,2026-02
1853,2026-03
1853,2026-04
1855,2025-07
1855,2025-08
1855,2025-09
1855,2025-10
1855,2026-02
1855,2026-03
1855,2026-04
1859,2025-07
1859,2025-08
1859,2025-12
1859,2026-01
1859,2026-02
1862,2025-07
1862,2025-08
1862,2025-09
1862,2025-10
1862,2026-02
1862,2026-03
1862,2026-04
1867,2025-06
1867,2025-07
1867,2025-08
1867,2025-09
1867,2025-10
1867,2026-02
1867,2026-03
1867,2026-04
1870,2025-07
1870,2025-08
1870,2025-09
1870,2025-10
1870,2026-02
1870,2026-03
1870,2026-04
1880,2025-06
1880,2025-07
1880,2025-08
1880,2025-09
1880,2025-10
1880,2026-01
1880,2026-02
1880,2026-03
1883,2025-06
1883,2025-07
1883,2025-08
1883,2025-09
1883,2025-10
1883,2026-02
1883,2026-03
1883,2026-04
1884,2025-07
1884,2025-08
1884,2025-09
1884,2025-10
1884,2026-02
1884,2026-03
1884,2026-04
1908,2025-06
1908,2025-07
1908,2025-08
1908,2025-09
1908,2025-10
1908,2025-11
1908,2026-02
1908,2026-03
1908,2026-04
1926,2025-06
1926,2025-07
1926,2025-08
1926,2025-09
1926,2025-10
1926,2026-02
1926,2026-03
1926,2026-04
1927,2025-06
1927,2025-07
1927,2025-08
1927,2025-09
1927,2025-10
1927,2026-02
1927,2026-03
1927,2026-04
